Country;country_to_plot;adm0_a3;lat;lon;continent;region_wb;subregion;Total population in millions;ND_GAIN Index Country;
Western Sahara;W. Sahara;SAH;24.215527;-12.885834;Africa;Middle East & North Africa;Northern Africa;600000;;
Somaliland;Somaliland;SOL;9.56;44.06;Africa;Sub-Saharan Africa;Eastern Africa;3500000;;
Algeria;Algeria;DZA;28;3;Africa;Middle East & North Africa;Northern Africa;45600000;47.9;
Angola;Angola;AGO;-13;19;Africa;Sub-Saharan Africa;Middle Africa;36700000;37.9;
Benin;Benin;BEN;9.5;2.25;Africa;Sub-Saharan Africa;Western Africa;13700000;39.3;
Botswana;Botswana;BWA;-22;24;Africa;Sub-Saharan Africa;Southern Africa;2700000;50.8;
Burkina Faso;Burkina Faso;BFA;13;-2;Africa;Sub-Saharan Africa;Western Africa;23300000;37.6;
Burundi;Burundi;BDI;-3.5;30;Africa;Sub-Saharan Africa;Eastern Africa;13200000;35.5;
Cameroon;Cameroon;CMR;6;12;Africa;Sub-Saharan Africa;Middle Africa;28600000;40;
Cape Verde;Cape Verde;CPV;16;-24;Africa;Sub-Saharan Africa;Western Africa;600000;51.2;
Central African Republic;Central African Rep.;CAF;7;21;Africa;Sub-Saharan Africa;Middle Africa;5700000;27.7;
Chad;Chad;TCD;15;19;Africa;Sub-Saharan Africa;Middle Africa;18300000;27;
Comoros;Comoros;COM;-12.1667;44.25;Africa;Sub-Saharan Africa;Eastern Africa;900000;38.1;
Congo;Congo;COG;-1;15;Africa;Sub-Saharan Africa;Middle Africa;6100000;35;
Djibouti;Djibouti;DJI;11.5;43;Africa;Middle East & North Africa;Eastern Africa;1100000;42.6;
Egypt;Egypt;EGY;27;30;Africa;Middle East & North Africa;Northern Africa;112700000;46.6;
Equatorial Guinea;Eq. Guinea;GNQ;2;10;Africa;Sub-Saharan Africa;Middle Africa;1700000;41.6;
Eritrea;Eritrea;ERI;15;39;Africa;Sub-Saharan Africa;Eastern Africa;3700000;30.8;
Ethiopia;Ethiopia;ETH;8;38;Africa;Sub-Saharan Africa;Eastern Africa;126500000;37.5;
Gabon;Gabon;GAB;-1;11.75;Africa;Sub-Saharan Africa;Middle Africa;2400000;42.6;
Gambia;Gambia;GMB;13.4667;-16.5667;Africa;Sub-Saharan Africa;Western Africa;2800000;39.8;
Ghana;Ghana;GHA;8;-2;Africa;Sub-Saharan Africa;Western Africa;34100000;44.9;
Guinea;Guinea;GIN;11;-10;Africa;Sub-Saharan Africa;Western Africa;14200000;38.1;
Guinea-Bissau;Guinea-Bissau;GNB;12;-15;Africa;Sub-Saharan Africa;Western Africa;2200000;32.5;
Kenya;Kenya;KEN;1;38;Africa;Sub-Saharan Africa;Eastern Africa;55100000;39.6;
Lesotho;Lesotho;LSO;-29.5;28.5;Africa;Sub-Saharan Africa;Southern Africa;2300000;41.8;
Liberia;Liberia;LBR;6.5;-9.5;Africa;Sub-Saharan Africa;Western Africa;5400000;34.1;
Libyan Arab Jamahiriya;Libya;LBY;25;17;Africa;Middle East & North Africa;Northern Africa;6900000;43;
Madagascar;Madagascar;MDG;-20;47;Africa;Sub-Saharan Africa;Eastern Africa;30300000;35.3;
Malawi;Malawi;MWI;-13.5;34;Africa;Sub-Saharan Africa;Eastern Africa;20900000;37.6;
Mali;Mali;MLI;17;-4;Africa;Sub-Saharan Africa;Western Africa;23300000;34.6;
Mauritania;Mauritania;MRT;20;-12;Africa;Sub-Saharan Africa;Western Africa;4900000;40;
Morocco;Morocco;MAR;32;-5;Africa;Middle East & North Africa;Northern Africa;37800000;52.5;
Mozambique;Mozambique;MOZ;-18.25;35;Africa;Sub-Saharan Africa;Eastern Africa;33900000;38.5;
Namibia;Namibia;NAM;-22;17;Africa;Sub-Saharan Africa;Southern Africa;2600000;45.8;
Niger;Niger;NER;16;8;Africa;Sub-Saharan Africa;Western Africa;27200000;35.5;
Nigeria;Nigeria;NGA;10;8;Africa;Sub-Saharan Africa;Western Africa;223800000;38.5;
