ID;State, Province or Region;Country;Geographical area;"Reporting
to the Race To Resilience Data Explorer
(since 2021)"
1;Ahafo;Ghana;Africa;
2;Alberta;Canada;North America;Yes
3;Amambay;Paraguay;South America;
4;Andalucia;Spain;Europe;Yes
5;Araucanía;Chile;South America;
6;Assam ;India;Asia;
7;Australian Capital Territory;Australia;Oceania;Yes
8;Auvergne-Rhone-Alpes;France;Europe;Yes
9;Azuay;Ecuador;South America;
10;Basque Country;Spain;Europe;Yes
11;Baja California Sur;Mexico;South America;Yes
12;Bolívar;Ecuador;South America;
13;Brittany;France;Europe;
14;British Columbia;Canada;North America;Yes
15;California;USA;North America;Yes
16;Campeche ;Mexico;North America;Yes
17;Canary Islands;Spain;Europe;
18;Catalonia;Spain;Europe;Yes
19;Ceará;Brazil;South America;Yes
20;Centre Nord;Burkina Faso;Africa;Yes
21;Cerro Largo;Uruguay;South America;
22;Communes du Zou;Benin;Africa;
23;Cross River State;Nigeria;Africa;Yes
24;Cusco;Perú;South America;
25;El Oro;Ecuador;South America;
26;Esmeraldas;Ecuador;South America;
27;Fatick;Senegal;Africa;
28;Fès-Mèknes;Morocco;Africa;
29;Flanders;Belgium;Europe;
30;Goias;Brazil;South America;Yes
31;Gossas ;Senegal;Africa;Yes
32;Guanajuato;Mexico;North America;Yes
33;Gujarat;India;Asia;
34;Hauts-Bassins;Burkina Faso;Africa;Yes
35;Imbabura;Ecuador;South America;
36;Jalisco;Mexico;North America;Yes
37;Kaffrine;Senegal;Africa;
38;KwaZulu-Natal;South Africa;Africa;Yes
39;La Réunion;France;Europe (Africa);Yes
40;La Rioja;Spain;Europe;Yes
41;Louga;Sénégal;Africa;
42;Lombardy;Italy;Europe;Yes
43;Maharashtra;India;Asia;
44;Manabí;Ecuador;South America;
45;Minas Gerais;Brazil;South America;Yes
46;Misiones;Argentina;South America;
47;Morona Santiago;Ecuador;South America;
48;Napo;Ecuador;South America;
49;Navarra;Spain;EUROPE;Yes
50;North Sumatra;Indonesia;Asia;
51;Orellana;Ecuador;South America;
52;Paraná;Brazil;South America;Yes
53;Pastaza;Ecuador;South America;Yes
54;Pernambuco;Brazil;South America;Yes
55;Pichincha;Ecuador;South America;
56;Prince Edward Island;Canada;North America;Yes
57;Québec;Canada;North America;Yes
58;Región Administrativa y de Planificación Pacífico - RAP Pacífico;Colombia;South America;Yes
59;Rabat-Salé-Kénitra;Morocco;Africa;
60;Rio de Janeiro;Brazil;South America;Yes
61;Rio Grande do Sul ;Brazil;South America;Yes
62;Rivera;Uruguay;South America;
63;Saint-Louis;Senegal;Africa;
64;Santa Elena;Ecuador;South America;Yes
65;Scotland;UK;Europe;Yes
66;Sao Paulo;Brazil;South America;Yes
67;South Australia;Australia;Oceania;Yes
68;Sud Comoe;Ivory Coast;Africa;Yes
69;Tocantins ;Brazil;South America;Yes
70;Tombouctou;Mali;Africa;
71;Tucumán;Argentina;South America;
72;Vermont;USA;North America;
73;Wales;UK;Europe;Yes
74;Western Province;Sri Lanka;Asia;
75;Yucatan;Mexico;Latin America;Yes
76;Zamora Chinchipe;Ecuador;South America;
-;AJUDEPA - Asociación de Juntas Departamentales del Paraguay;Paraguay;South America;
-;ANCORE - Asociación Nacional de Conserjeros Regionales de Chile;Chile;South America;
-;ANGR - Asemblea Nacional de Gobiernos Regionales de Peru;Perú;South America;
-;CONGOPE - Consorcio de Gobiernos Autonomos Provinciales del Ecuador;Ecuador;South America;
-;Council of Governors of Kenya;Kenya;Africa;
-;Mancomunidad Regional de los Andes;Perú;South America;
