InitName;All_Countries;Cities;lat;lon;SAA Priority Systems;Description;Title;Date;Implementers;Beneficiaries / Impact:;Official_Link;Video_Description;Comments
Extreme Heat Resilience Alliance (EHRA);Greece;Athens;37.98381;23.727539;"Infrastructure; Planning and Policy: Cross-cutting";Athens, Greece, is actively combating the increasing frequency and intensity of heat waves and their impacts, supported by the Extreme Heat Resilience Alliance. The city has implemented several key initiatives, including the appointment of a Chief Heat Officer to oversee worker protection, public awareness campaigns on the health impacts of heat waves, and the development of accessible cooling centers. Athens is also investing in the built environment and nature-based solutions, such as creating pocket parks for cooling and adding water fountains in public areas. These measures aim to reduce the physical and economic impacts of extreme heat, with worker productivity losses currently valued at $98.4 million, projected to rise to $230 million by 2050 under current emission trajectories.;Athens leads fight to counteract extreme heat ;DECEMBER 13, 2022;City of Athens;No Available;https://climatechampions.unfccc.int/athens-leads-fight-to-counteract-extreme-heat/?_gl=1*1f5z48h*_ga*MTI1MDQzMTE3MC4xNjg1Mzc4MDc5*_ga_7ZZWT14N79*MTY5NjM1NTYwOC4yMDIuMS4xNjk2MzU2NzYxLjAuMC4w;No Available;No comment
The Climakers (Climakers);Central African Republic;Bangui;4.394674;18.55819;Food and Agriculture;Agroforestry is transforming cocoa farming in the Central African Republic. This approach has increased cocoa production and forest restoration, offering myriad ecological benefits including carbon sequestration and improved soil quality. It also promotes social benefits by creating opportunities for farmers and enhancing local economies.;Planting the seeds of resilience: How agroforestry is redefining cocoa farming in Central Africa;JULY 13, 2023;CNOP-CAF (Concertation Nationale des Organisations Paysannes de Centrafrique);No Available;https://climatechampions.unfccc.int/planting-the-seeds-of-resilience-how-agroforestry-is-redefining-cocoa-farming-in-central-africa/;No Available;No comment
Ocean Risk and Resilience Action Alliance (ORRAA);Belize;Belize City;17.504566;-88.196213;"Coastal and Oceans; Finance: Cross-cutting";The MAR Insurance Programme, in collaboration with Willis Towers Watson and the Mesoamerican Reef Fund, offers innovative insurance solutions for the Mesoamerican Reef across Mexico, Belize, Guatemala, and Honduras. This groundbreaking parametric insurance covers hurricane risks, enabling rapid financial responses for reef restoration and conservation. The programme was effective during Hurricane Lisa, demonstrating the value of parametric insurance in quick disaster response. The success of this program is inspiring replication in other regions and reinforcing resilience against climate crises in communities and ecosystems.;How innovative insurance solutions are protecting Mesoamerican reefs and communities;JULY 6, 2023;"Willis Towers Watson WTW; Mesoamerican Reef Fund (MAR Fund)";No Available;https://climatechampions.unfccc.int/how-innovative-insurance-solutions-are-protecting-mesoamerican-reefs-and-communities/;No Available;Multiple Countries Here. Text focus on Belize
Urban Sustainability Directors Network (USDN);United States of America;Boyle Heights, Los Angeles;34.033344;-118.2048;"Human Settlements; Planning and Policy: Cross-cutting";The Boyle Heights Resilience Hub in Los Angeles serves as a community-based space for resilience and resource access, particularly in response to pollution, natural disasters, and systemic challenges faced by the community. The hub offers diverse programming, including job training in radio and broadcasting, multi-lingual radio programming, community recovery preparedness, arts education for youth, and senior services. It also focuses on emergency preparedness and communication, with a radio station and emergency supplies. The site is being enhanced with water capture systems, solar power, and battery backup, ensuring ADA accessibility and ongoing community engagement.;Resilience hubs in action: Boyle Heights Arts Conservatory;NOVEMBER 6, 2022;Boyle Heights Resilience Hub;No Available;https://climatechampions.unfccc.int/resilience-hubs-in-action-boyle-heights-arts-conservatory/;No Available;No comment
Global Mangrove Alliance (GMA);Philippines;Concepcion;15.3259;120.6573;"Coastal and Oceans; Infrastructure";In Concepcion, Philippines, the Green Gray Infrastructure initiative led by Global Mangrove Alliance and Conservation International is enhancing community resilience against climate change. The project combines grey infrastructure solutions like wave attenuation fences with green solutions such as mangrove restoration. To date, 110,363 mangrove seedlings have been planted, and a 769.7-hectare Marine Protected Area has been established. The initiative also includes livelihood projects and an Emergency Response Center, empowering the local community, particularly fishermen, to better withstand climate impacts.;Building community resilience with Green Gray Infrastructure in Concepcion, Philippines;OCTOBER 3, 2022;Conservation International;No Available;https://climatechampions.unfccc.int/building-community-resilience-with-green-gray-infrastructure-in-concepcion-philippines/;https://www.youtube.com/watch?v=Qkloi6fDhWU&embeds_referring_euri=https%3A%2F%2Fclimatechampions.unfccc.int%2F&embeds_referring_origin=https%3A%2F%2Fclimatechampions.unfccc.int&feature=emb_imp_woyt;No comment
DARAJA (Resurgence) (DARAJA);Tanzania, United Republic of;Dar es Salaam;-6.7926;39.208328;"Coastal and Oceans; Finance: Cross-cutting";The DARAJA program has had a significant effect in Dar es Salaam, with an increase in preparedness for extreme weather conditions, including improvements in housing infrastructure and drainage cleaning efforts.;DARAJA: Transforming Weather Information into Urban Resilience in Dar es Salaam, Tanzania;SEPTEMBER 5, 2023;The Centre for Community Initiatives (CCI) in Dar es Salaam, the Tanzania Meteorological Authority (TMA) and array of key local community partners and leaders.;No Available;https://climatechampions.unfccc.int/daraja-a-systems-wide-approach-to-climate-resilience-in-east-africa/;https://www.youtube.com/watch?v=15mvDkpl49Y&embeds_referring_euri=https%3A%2F%2Fclimatechampions.unfccc.int%2F&embeds_referring_origin=https%3A%2F%2Fclimatechampions.unfccc.int&feature=emb_imp_woyt;No comment
Ocean Risk and Resilience Action Alliance (ORRAA);Tanzania, United Republic of;Dar es Salaam;-6.792354;39.208328;Food and Agriculture;ORRAA, in collaboration with AFO and supported by the Government of Canada and the UK’s Blue Planet Fund, is advancing coastal resilience in Dar-es-Salaam by restoring mangrove forests and establishing a voluntary carbon market. This project has successfully planted over 20,000 mangroves, empowered local women through beekeeping, and is planning to expand to more villages for greater CO2 capture and community benefits.;Establishing a Voluntary Carbon Market to Restore Mangroves and Support Local Communities;OCTOBER 3, 2023;AquaFarms Organization (AFO);No Available;https://oceanriskalliance.org/project/establishing-a-voluntary-carbon-market-to-restore-mangroves-and-support-local-communities/;No Available;Original Date Not Found
Extreme Heat Resilience Alliance (EHRA);Bangladesh;Dhaka North;23.810331;90.412521;Human Settlements;Dhaka North, Bangladesh, has become the first city in Asia to appoint a Chief Heat Officer, Bushra Afreen. This initiative, part of the Global Champions for Heat Action platform, is a response to the growing threat of extreme heat in urban areas. The role involves unifying the city's planning and response to extreme heat, focusing on the most vulnerable communities. It aims to reduce risks and impacts of extreme heat for its 15 million residents, with Afreen bringing expertise in social welfare, government, and innovation to this groundbreaking role.;Dhaka North becomes the first city in Asia to appoint a Chief Heat Officer;AUGUST 7, 2023;Dhaka North City Corporation (DNCC);15 million people;https://climatechampions.unfccc.int/dhaka-north-becomes-the-first-city-in-asia-to-appoint-a-chief-heat-officer/#:~:text=Under%20this%20joint%20initiative%2C%20the,them%20living%20in%20urban%20centers.;No Available;No comment
International Coalition of Sustainable Infrastructure (ICSI);United States of America;Franklin County, Florida;29.781774;-84.856793;"Infrastructure; Coastal and Oceans";In Apalachicola Bay, Florida, a nature-based solution involving the creation of engineered oyster reefs and salt marshes is being implemented to protect the vulnerable coastline and critical infrastructure from erosion. The project, led by the Apalachee Regional Planning Council and WSP USA, aims to attenuate wave action and enhance the ecological functions of coastal habitats. Covering a 6-mile segment of Highway 98, a crucial hurricane evacuation route, the initiative focuses on establishing intertidal marshes through oyster reefs. This approach not only stabilizes the shoreline but also supports carbon sequestration, improves water quality, and helps restore the local oyster fishery. Funded by the National Fish and Wildlife Foundation and Gulf Environmental Benefit Fund, the project will enhance shoreline resilience, provide ecological uplift, and offer economic benefits through the rejuvenation of the oyster fishery.;How oysters are helping protect Apalachicola’s vulnerable shoreline;JUNE 22, 2023;WSP, Apalachee Regional Planning Council ;< 12,500 people;https://climatechampions.unfccc.int/how-oysters-are-helping-protect-apalachicolas-vulnerable-shoreline/;No Available;No comment
RegionsAdapt (RegionsAdapt);Mexico;Jalisco;20.659699;-103.349609;Food and Agriculture;"In Jalisco, Mexico, the state government and the Tequila Regulatory Council (CRT) are collaborating to address the environmental impacts of tequila production, particularly deforestation. The ""Environmental Responsible Agave (ARA)"" initiative aims to promote responsible agave production processes and forest conservation. With the target of halting deforestation associated with tequila production by 2027, the initiative includes the development of a certification protocol, technological solutions, and better production practices. The strategy integrates economic and environmental policies at the state level, involving ministries, municipal authorities, and industry stakeholders, aiming for a 50% reduction in deforestation by 2024 and 100% by 2030.";Environmentally responsible agave: The case of Jalisco, Mexico;NOVEMBER 30, 2022;Jalisco State Government, Tequila Regulatory Council (CRT);No Available;https://climatechampions.unfccc.int/environmental-responsible-agave-the-case-of-jalisco-mexico/;No Available;No comment
